data_seed,method,AUROC,AUPRC,acc,BAcc,indi,isol,data
2003,CDReg w/o C,0.5798532308904649,0.0897320442399471,0.9356666666666666,0.4976950354609929,0.0833280139739454,0.0449794577040345,covGau_de1_b0.5
2003,CDReg,0.6503014184397163,0.2026477282465801,0.9416666666666668,0.5320921985815603,0.0171656741680716,0.0209793297482308,covGau_de1_b0.5
2008,Lasso,0.5876142631993695,0.1644344380421326,0.9413333333333334,0.5319148936170213,0.0342848937950949,0.0495517364772009,covGau_de1_b0.5
2008,ENet,0.5878565799842395,0.1628809955224515,0.9413333333333334,0.5319148936170213,0.0351676623781394,0.0506623406054419,covGau_de1_b0.5
2008,SGLasso,0.6350551615445232,0.1504902722172434,0.9386666666666666,0.5226950354609929,0.027246101379213,0.0452361727654132,covGau_de1_b0.5
2008,Pclogit,0.6037312844759655,0.1884757278704348,0.942,0.5322695035460994,0.0267967385061175,0.0363798044478532,covGau_de1_b0.5
2008,CDReg w/o S,0.5869956658786446,0.1555379790575974,0.9373333333333334,0.508983451536643,0.0087336706654227,0.0303923684343321,covGau_de1_b0.5
2008,CDReg w/o C,0.5785066981875493,0.088662461710463,0.933,0.4988770685579196,0.0483321461204322,0.0272745753521245,covGau_de1_b0.5
2008,CDReg,0.6448246650906226,0.2681478696662888,0.943,0.5510047281323878,0.0,0.020319382419055,covGau_de1_b0.5
2009,Lasso,0.5911052009456266,0.1307562987284473,0.9326666666666666,0.5143026004728133,0.0604281125624743,0.0490698848993533,covGau_de1_b0.5
2009,ENet,0.5931195823483059,0.1277308521048358,0.9343333333333332,0.5151891252955083,0.0596049118428441,0.0508715983584293,covGau_de1_b0.5
2009,SGLasso,0.61996158392435,0.1436302276075065,0.9386666666666666,0.5148936170212767,0.0351467178315258,0.0576251699758544,covGau_de1_b0.5
2009,Pclogit,0.6158559889676911,0.1606442596917765,0.9346666666666666,0.5101654846335697,0.0274885246521902,0.0374423387234113,covGau_de1_b0.5
2009,CDReg w/o S,0.5753920409771472,0.0999392673683122,0.936,0.4978723404255319,0.0068357952211418,0.0105475362916971,covGau_de1_b0.5
2009,CDReg w/o C,0.5867927501970056,0.1533639517854429,0.939,0.5254728132387707,0.019505778230281,0.0079402651196379,covGau_de1_b0.5
2009,CDReg,0.6246788810086682,0.2155065082508753,0.9413333333333334,0.5449172576832151,0.0,0.0062015026866832,covGau_de1_b0.5
2018,Lasso,0.5694345941686367,0.1156599269311972,0.934,0.5202127659574468,0.0200167812498259,0.0484539964012797,covGau_de1_b0.5
2018,ENet,0.570068951930654,0.1148576545883308,0.934,0.5202127659574468,0.0203461462824901,0.0487299993984543,covGau_de1_b0.5
2018,SGLasso,0.6331501182033097,0.1106107139767027,0.9343333333333332,0.5047872340425532,0.0250702763650741,0.0804825608862961,covGau_de1_b0.5
