Comb,Subject,Label,x,y
pair_normal,Paired,Normal,-47.90016449106405,-132.8223152621843
pair_normal,Paired,Normal,-53.42635690296968,-67.0420578870786
pair_normal,Paired,Normal,-70.51237386515864,-81.49353850851718
pair_normal,Paired,Normal,-202.53824456869424,33.697666350557895
pair_normal,Paired,Normal,-147.851317976256,17.976751904210037
pair_normal,Paired,Normal,-53.042758706435855,154.39182852540276
pair_normal,Paired,Normal,-76.0242628044096,186.87516904020623
pair_normal,Paired,Normal,-156.9493313836236,-12.117051817931392
pair_normal,Paired,Normal,-9.20027907870685,-92.13324307364627
pair_normal,Paired,Normal,-67.12716136204057,-230.57363701706706
pair_normal,Paired,Normal,-172.7957467646957,116.70187671013161
pair_normal,Paired,Normal,-169.87259836279028,-32.23556393286433
pair_normal,Paired,Normal,-144.33440924649517,136.69928462413463
pair_normal,Paired,Normal,-90.23640458218951,31.72135031084882
pair_normal,Paired,Normal,-38.41311179818925,-25.314399979190544
pair_normal,Paired,Normal,-91.81976704247808,43.63781729191468
pair_normal,Paired,Normal,-47.824445855584116,237.6671463958402
pair_normal,Paired,Normal,-244.35254907411584,25.289580223484087
pair_normal,Paired,Normal,-106.11437702660646,-70.92433494262146
pair_normal,Paired,Normal,-98.43768979753622,55.39567303567788
pair_normal,Paired,Normal,-193.6510683461732,155.2725307023093
indi_cancer,Individual,Cancer,-31.375089303237544,174.5853702135797
indi_cancer,Individual,Cancer,-69.02919445718126,185.85015885635414
indi_cancer,Individual,Cancer,-108.0756399641095,41.06929046298446
indi_cancer,Individual,Cancer,526.3964536198586,153.21478599285422
indi_cancer,Individual,Cancer,-125.26216049388242,-50.472173984997895
indi_cancer,Individual,Cancer,100.56492236806302,-269.6112633655921
indi_cancer,Individual,Cancer,277.4759957353434,481.8789173666584
indi_cancer,Individual,Cancer,113.61640992599601,-211.5542964636545
indi_cancer,Individual,Cancer,168.3926713496663,-67.93359573694882
indi_cancer,Individual,Cancer,-184.99379868213964,-95.90431432390336
indi_cancer,Individual,Cancer,386.6402422179554,352.21857940842926
indi_cancer,Individual,Cancer,-71.1348727203042,-54.595549247675756
indi_cancer,Individual,Cancer,-96.41632760355515,-98.14983126067811
indi_cancer,Individual,Cancer,-35.69948874139328,-41.61483594568052
indi_cancer,Individual,Cancer,-119.70797782291646,-33.74505573552913
indi_cancer,Individual,Cancer,-150.76943540973,259.36268242912337
indi_cancer,Individual,Cancer,-411.7914518842757,155.98788648974522
indi_cancer,Individual,Cancer,166.13034299208852,-226.88752619043248
indi_cancer,Individual,Cancer,-34.941821493167325,-196.55998341444678
indi_cancer,Individual,Cancer,80.24381878053548,-141.89078271182544
indi_cancer,Individual,Cancer,-22.460533957172853,-77.343126269712
indi_cancer,Individual,Cancer,20.37488473019081,69.53636516761553
indi_cancer,Individual,Cancer,222.78820954978417,-131.74766913781934
indi_cancer,Individual,Cancer,-66.13454686864401,149.49860870338705
indi_cancer,Individual,Cancer,-61.89084886106878,-119.06158850478252
indi_cancer,Individual,Cancer,-316.4715759918068,-9.714283908027893
indi_cancer,Individual,Cancer,33.19753580594222,-193.60437640661652
indi_cancer,Individual,Cancer,-211.1037642861148,-100.7159100279776
indi_cancer,Individual,Cancer,341.829679030117,212.9916904412317
indi_cancer,Individual,Cancer,22.771157068142063,-73.1099429766441
indi_cancer,Individual,Cancer,-246.46043563040993,46.554203670342105
indi_cancer,Individual,Cancer,81.29630106879831,-175.45876044201202
indi_cancer,Individual,Cancer,-35.73272734514546,8.731261810118118
indi_cancer,Individual,Cancer,69.02546134168925,66.23480637816897
indi_cancer,Individual,Cancer,154.09428037625378,-33.85117850807734
indi_cancer,Individual,Cancer,-227.13837116620297,255.8542232507848
indi_cancer,Individual,Cancer,-59.521145584134835,-179.08180153828073
indi_cancer,Individual,Cancer,-16.7347869954446,38.373212048840706
indi_cancer,Individual,Cancer,65.49438395998874,-73.05917262511433
indi_cancer,Individual,Cancer,9.170684464959585,48.07859451574027
indi_cancer,Individual,Cancer,141.01614799364947,-320.8820892257536
indi_cancer,Individual,Cancer,-63.909766464428714,-170.57350530072526
indi_cancer,Individual,Cancer,-65.74317411077462,-61.64651189011935
indi_cancer,Individual,Cancer,31.28080873433279,-177.2089307960295
indi_cancer,Individual,Cancer,-34.823954231901276,-56.10292168973326
indi_cancer,Individual,Cancer,1.3212821616679742,-66.048390870875
indi_cancer,Individual,Cancer,84.70009480498851,58.73914998534076
indi_cancer,Individual,Cancer,13.977114321313977,-127.1274978796588
indi_cancer,Individual,Cancer,-236.5797678098822,91.48780220320603
indi_cancer,Individual,Cancer,-104.92440319201324,-137.00303859955616
indi_cancer,Individual,Cancer,145.22326281513327,104.8144284847282
indi_cancer,Individual,Cancer,75.86601261943528,-96.96690212025683
indi_cancer,Individual,Cancer,75.76442941818001,253.9183862016095
indi_cancer,Individual,Cancer,-92.99956882321997,-333.6227196645225
indi_cancer,Individual,Cancer,83.55153105271654,253.97443292885802
indi_cancer,Individual,Cancer,-235.5331675871722,-357.1070601006131
indi_cancer,Individual,Cancer,14.131830552804848,-89.41128946394066
indi_cancer,Individual,Cancer,-277.63372929299175,36.53582674213472
indi_cancer,Individual,Cancer,45.5852420087741,-328.0538339476191
indi_cancer,Individual,Cancer,-131.23086957116377,-286.96024916136287
indi_cancer,Individual,Cancer,-101.29059837416783,141.8265857276143
indi_cancer,Individual,Cancer,68.45564925761575,-172.6261981290543
indi_cancer,Individual,Cancer,-328.71399278741603,6.830605419889254
