dist,corrN,corrC,expD,corrNAbs,corrCAbs
17.0,0.7176522152585088,0.9265990618186397,0.9999999643087876,0.7176522152585088,0.9265990618186397
599.0,0.12118836740899769,0.2896607630417721,0.9999556894144259,0.12118836740899769,0.2896607630417721
137.0,0.34515644201815604,0.446492025728096,0.9999976820498185,0.34515644201815604,0.446492025728096
212.0,0.025533688636150062,0.22238777699557957,0.9999944494760202,0.025533688636150062,0.22238777699557957
483.0,0.7510892962113913,0.937189623473318,0.9999711894551185,0.7510892962113913,0.937189623473318
8.0,0.4403052944487163,0.31755822366642716,0.9999999920960636,0.4403052944487163,0.31755822366642716
51.0,0.2732895235768627,0.6594682416802182,0.9999996787791336,0.2732895235768627,0.6594682416802182
28.0,0.32458338823689487,0.5320771863433252,0.999999903176783,0.32458338823689487,0.5320771863433252
59.0,0.11641660748734742,0.24736603059201182,0.999999570100048,0.11641660748734742,0.24736603059201182
90.0,0.27792320353098193,0.6177649387223878,0.9999989996585412,0.27792320353098193,0.6177649387223878
437.0,0.1625022150426146,0.6464172857064537,0.9999764157961872,0.1625022150426146,0.6464172857064537
246.0,-0.2977162971779483,0.17060342647340473,0.9999925263620022,0.2977162971779483,0.17060342647340473
107.0,0.5281282533641541,0.6329746883359182,0.9999985860608651,0.5281282533641541,0.6329746883359182
634.0,0.1601532449424039,0.21618817338485735,0.9999503600651254,0.1601532449424039,0.21618817338485735
22.0,0.31601243592730105,0.8023537437413039,0.9999999402264823,0.31601243592730105,0.8023537437413039
73.0,0.33285374025657855,0.757016522027378,0.9999993418740066,0.33285374025657855,0.757016522027378
18.0,0.4754342073406327,0.2630619753275936,0.9999999599863224,0.4754342073406327,0.2630619753275936
53.0,-0.32374295382771384,0.44795078850205816,0.9999996530913486,0.32374295382771384,0.44795078850205816
72.0,0.5934363532284762,0.8660476081269434,0.9999993597813511,0.5934363532284762,0.8660476081269434
7.0,-0.13301971409899396,0.36935512218131866,0.9999999939485487,0.13301971409899396,0.36935512218131866
314.0,0.15314484245064874,0.29774851059353996,0.9999878235660099,0.15314484245064874,0.29774851059353996
4.0,0.17533117619206878,0.27001768064111004,0.9999999980240158,0.17533117619206878,0.27001768064111004
4772.0,0.3025440956238314,0.3381613810959215,0.9971916334418958,0.3025440956238314,0.3381613810959215
845.0,0.1559864131641045,0.08666741209962364,0.9999118225091785,0.1559864131641045,0.08666741209962364
139.0,0.7011956431928181,0.7293932867804535,0.9999976138785268,0.7011956431928181,0.7293932867804535
428.0,0.5332034507946055,0.7862333679933761,0.9999773772137465,0.5332034507946055,0.7862333679933761
49.0,0.036189922450432385,0.5315949239279342,0.9999997034789274,0.036189922450432385,0.5315949239279342
199.0,0.0004296555612161731,0.7052896587254236,0.9999951093277715,0.0004296555612161731,0.7052896587254236
1626.0,0.24338297309699977,0.24485790841240537,0.9996735372391523,0.24338297309699977,0.24485790841240537
18.0,0.4861472576698101,0.842072295636731,0.9999999599863224,0.4861472576698101,0.842072295636731
1371.0,0.001935155363801077,0.21638164007534105,0.9997678931433912,0.001935155363801077,0.21638164007534105
2987.0,-0.42559261602435716,-0.2739517723064442,0.9988987278313374,0.42559261602435716,0.2739517723064442
